Aadhaar ID name,Gender,Pet Name,Location,Colour/Pattern,Description,Collar colour/type,Neutering status,Date of latest vaccination,Pictures ,Date of survery ( 29/03/26),( 12/4/26)
Dog 1,Male,-,Tulita,chocolate brown,"pointy ears,timid, black snout",no collar,non neutered,not vaccinated,"PASTE_DOG1_IMAGES_HERE",spotted,-
Dog 2,Female,Dora,Tulita,Tan with white patches,"Black snout, dark eye rims,pointy ears",red collar (without QR),neutered,mid of December,"PASTE_DOG2_IMAGES_HERE",spotted,-
Dog 3,Male,-,Faculty residence,Light brown,"Old, with some facial scarring",no collar,non neutered,not vaccinated,"PASTE_DOG3_IMAGES_HERE",not spotted,spotted
Dog 4,Female,Chitti,C Block,Cream,"Pink nose, flop ears",red collar (with QR),non neutered,mid of December,"PASTE_DOG4_IMAGES_HERE",spotted,-
Dog 5,Male,Stubby,C Block,Brown,"Stubbed tail, floppy ears",blue collar (with QR),non neutered,not vaccinated,"PASTE_DOG5_IMAGES_HERE",spotted,-
Dog 6,Male,-,Research block,Brown,"Curled tail, dark muzzle, muscular build",blue collar (with QR),non neutered,not vaccinated,"PASTE_DOG6_IMAGES_HERE",spotted,-
Dog 7,Female,Jumpy,Wellness clinic,Cream with light brown patches,"very jumpy, always covered in dirt",red collar (with OR),non neutered,not vaccinated,"PASTE_DOG7_IMAGES_HERE",spotted,-
Dog 8,Male,,Research Block,Tan," Pup, Pointy ears",blue collar (without QR),non neutered,not vaccinated,"PASTE_DOG8_IMAGES_HERE",spotted,-
Dog 9,Female,-,Research block,Cream,"pup, pointy ears, with scarring under left front limb",red collar(without QR),non neutered,not vaccinated,"PASTE_DOG9_IMAGES_HERE",spotted,-
Dog 10,Male,,Guest house,Brown,Scars along the Spine,red collar (without QR), neutered,vaccinated,"PASTE_DOG10_IMAGES_HERE",spotted,-
Dog 11,Female,crema?,Guest house,Cream,"Pointy ears, curled tail",dark green (without QR),neutered,vaccinated,"PASTE_DOG11_IMAGES_HERE",spotted,-
Dog 12,Male ,socsac,Dining block,Brown,"Old, floppy ears",black(with QR),neutered,not vaccinated,"PASTE_DOG12_IMAGES_HERE",spotted,-
Dog 13,Male,,Dining block,"White, with brown patches","Young adult, floppy ears",no collar,non neutered,vaccinated,"PASTE_DOG13_IMAGES_HERE",spotted,-
Dog 14,,,Dining block,"white, black face",young adult,blue collar(with QR),non neutered,vaccinated,"PASTE_DOG14_IMAGES_HERE",spotted,-
Dog 15,Female,,Dining block,Brown,"old, plump, chipped ear",black(with QR),neutered,not vaccinated,"PASTE_DOG15_IMAGES_HERE",spotted,-
Dog 16,Female,,Dining block,Brown,"young adult, white tipped tail and paws ",blue(with QR),non neutered,vaccinated,"PASTE_DOG16_IMAGES_HERE",spotted,-
Dog 17,,,Dining block,white with brown spots,"young adult, spotted",,non neutered,vaccinated,"PASTE_DOG17_IMAGES_HERE",not spotted,-
Dog 18,Female,,Dining block,White,"thin, pointy ears",black(with QR),neutered,not vaccinated,"PASTE_DOG18_IMAGES_HERE",not spotted,-
Dog 19,Male,,Faculty residence,Brown,"pink nose, pointy ears , short, chubby",no collar,non neutered,not vaccinated,"PASTE_DOG19_IMAGES_HERE",-,spotted
Dog 20,Female,,Faculty residence,white with cream patches,"tall, black nose",,neutered,not vaccinated,"PASTE_DOG20_IMAGES_HERE",-,spotted
Dog 21,Male,,Faculty residence,Black,"solid black, pointy ears",no collar,non neutered,not vaccinated,"PASTE_DOG21_IMAGES_HERE",-,spotted
Dog 22,Female,,Faculty residence,brown,"pup, pointy ears, jet black eyes and nose",no collar,non neutered,not vaccinated,"PASTE_DOG22_IMAGES_HERE",-,spotted
Dog 23,Female,,Faculty residence,Brown,"pup, very thin",no collar,non neutered,not vaccinated,"PASTE_DOG23_IMAGES_HERE",-,spotted
Dog 24,,,B block kitchen,White with brown patches,"pup, floppy brown ears",no collar,non neutered,not vaccinated,"PASTE_DOG24_IMAGES_HERE",,
Dog 25,,,B block kitchen,Brown,"Brown pup, white feet, black snout with white muzzle, white collar patch",no collar,non neutered,not vaccinated,"PASTE_DOG25_IMAGES_HERE",,
Dog 26,,,B block kitchen,White with brown patches,"white pup, pointy ears, brown fur surrounding the eyes",no collar,non neutered,not vaccinated,"PASTE_DOG26_IMAGES_HERE",,
